# Generated from libretro-database's Sony - PlayStation DAT.
# Source: https://github.com/libretro/libretro-database
# License: CC-BY-SA-4.0
dk10794	Classic Card Games (Russia)
lsp0201700	Secret of Googol 2b, The - Reshaping Googol - Under the Ocean (USA)
lsp0201800	Secret of Googol 2a, The - Reshaping Googol - The Castle (USA)
lsp0201900	Cali's Geo Tools (USA)
lsp0202600	Secret of Googol 3, The - The Googol Counting Fair - Midways (USA)
lsp0202800	Secret of Googol 4, The - The Googol Counting Fair - Corral & Fun House (USA)
lsp0204500	Secret of Googol 5, The - Googolfest - Party Isle & Toy Isle (USA)
lsp0205700	Secret of Googol 6, The - Googolfest - Arcade Isle & Moon Feast Isle (USA)
lsp0206500	Secret of Googol 7, The - Eggs All Around - Egg Trek & Balloon Picnic (USA)
lsp0207800	Secret of Googol 8, The - Googol Gulch - General Store & Math Arcade (USA)
lsp0301010	Str.at.e.s. 1 - Match-A-Batch (USA)
lsp030102	Str.at.e.s. 2 - Matchamania! (USA)
lsp03010201	Str.at.e.s. 2 - Matchamania! (USA)
lsp030103	Str.at.e.s. 3 - Title This! Title That! (USA)
lsp03010301	Str.at.e.s. 3 - Title This! Title That! (USA)
lsp030104	Str.at.e.s. 4 - Titlerama! (USA)
lsp03010401	Str.at.e.s. 4 - Titlerama! (USA)
lsp030105	Str.at.e.s. 5 - Parallel Lives! (USA)
lsp03010501	Str.at.e.s. 5 - Parallel Lives! (USA)
lsp030106	Str.at.e.s. 6 - Analogy-ology! (USA)
lsp03010601	Str.at.e.s. 6 - Analogy-ology! (USA)
lsp030107	Str.at.e.s. 7 - Riddle Roundup! (USA)
lsp03010701	Str.at.e.s. 7 - Riddle Roundup! (USA)
lsp0301080	Str.at.e.s. 8 - Riddle Wrangler! (USA)
lsp0401100	Timeless Math 1 - Maya, Search and Rescue (USA)
lsp040120	Timeless Math 3 - Maya, King Jaguar's Village (USA)
lsp04012001	Timeless Math 3 - Maya, King Jaguar's Village (USA)
lsp040130	Timeless Math 2 - Maya, Observatory (USA)
lsp04013001	Timeless Math 2 - Maya, Observatory (USA)
lsp040410	Timeless Math 4 - Lunar Base (USA)
lsp04041001	Timeless Math 4 - Lunar Base (USA)
lsp040510	Timeless Math 5 - Space Flight Rescue (USA)
lsp04051001	Timeless Math 5 - Space Flight Rescue (USA)
lsp0501010	Mona & Moki 1 - Drive Me Wild! (USA)
lsp0501020	Mona & Moki 2 - Drive Me Wilder! (USA)
lsp0601010	Quaddle Family Mysteries, The 1 - The Case of the Scarce Scarab - Lobby & Kitchen (USA)
lsp0601020	Quaddle Family Mysteries, The 2 - The Case of the Scarce Scarab - Garden (USA)
lsp0601030	Quaddle Family Mysteries, The 3 - The Case of the Scarce Scarab - Parlor & Family Room (USA)
lsp0601900	P.K.'s Math Studio (USA)
lsp0603100	P.K.'s Place 1 - Party on the Patio! (USA)
lsp0701100	KazMania 1 - Trail of Gems (USA)
lsp0801300	Faire Games - Language Arts (USA)
lsp0801400	Faire Games - Mathematics (USA)
lsp0802300	Cosmic Cookoff - Language Arts (USA)
lsp0802400	Cosmic Cookoff - Mathematics (USA)
lsp0901100	K9.5 1 - Live in Airedale (USA)
lsp0902200	K9.5 2 - We Are the Dogs! (USA)
lsp0903300	K9.5 3 - WebTunes (USA)
lsp0904400	K9.5 4 - The Tail-Wag Tour (USA)
lsp1001100	Math on the Move! 1 - Addition-Subtraction Intermediate (USA)
lsp1001110	Math on the Move! 2 - Multiplication-Division Intermediate (USA)
lsp100112	Math on the Move! 1 - Addition-Subtraction Advanced (USA)
lsp10011201	Math on the Move! 1 - Addition-Subtraction Advanced (USA)
lsp100113	Math on the Move! 2 - Multiplication-Division Advanced (USA)
lsp10011301	Math on the Move! 2 - Multiplication-Division Advanced (USA)
lsp1301100	Creative Camp (USA)
lsp1301200	Creative Isle (USA)
lsp1502000	Family Connection - A Guide to Lightspan (USA)
lsp17011001	Write Away 1 (USA)
lsp17011101	Write Away 2 (USA)
lsp17011201	Write Away 3 (USA)
lsp17011301	Write Away 4 (USA)
lsp1802100	P.K.'s Place 2 - Hoopo at Sea! (USA)
lsp1803100	P.K.'s Place 3 - Carlos at the Races! (USA)
lsp1804100	P.K.'s Place 4 - Daphne and the Seventh Wonder (USA)
lsp200110	Calamity 1 - The Natural World (USA)
lsp2001100	Calamity 1 - The Natural World (USA)
lsp200220	Calamity 2 - People and Traditions (USA)
lsp2002200	Calamity 2 - People and Traditions (USA)
lsp200330	Calamity 3 - Around the World (USA)
lsp2003300	Calamity 3 - Around the World (USA)
lsp903013	Mars Moose Cosmic Quest 1 - City Sights (USA)
lsp903020	Mars Moose Cosmic Quest 2 - Fairy Tale Island (USA)
lsp903037	Mars Moose Cosmic Quest 3 - Race Through France (USA)
lsp903044	Mars Moose Stay and Play 1 - In the Clubhouse (USA)
lsp903051	Mars Moose Stay and Play 2 - In Mars' Bedroom (USA)
lsp903068	Mars Moose Stay and Play 3 - In Lonnie's Classroom (USA)
lsp903099	Mars Moose Adventure - WalkAbout 3 - World Sports Day (USA)
lsp903112	Liquid Books Adventure 2 - Amrita's Trees & Cerdito and the Coyote (USA)
lsp903129	Liquid Books Adventure 3 - Far-Fetched Frontier Tales (USA)
lsp903136	Liquid Books Adventure 4 - The Adventures of Adelita and Bo (USA)
lsp903143	Liquid Books Adventure 5 - Pop-Out Prose (USA)
lsp90314301	Liquid Books Adventure 5 - Pop-Out Prose (USA)
lsp903150	Creative Camp (USA)
lsp903167	Creative Isle (USA)
lsp903174	Three Decoders 1, The - Riddle of the Ring (USA)
lsp90317401	Three Decoders 1, The - Riddle of the Ring (USA)
lsp903181	Three Decoders 2, The - Key to the Carousel (USA)
lsp90318101	Three Decoders 2, The - Key to the Carousel (USA)
lsp903310	Secret of Googol 1a, The - Reshaping Googol - The Submarine (USA)
lsp903327	Secret of Googol 1b, The - Reshaping Googol - The Tower (USA)
lsp903334	Secret of Googol 2a, The - Reshaping Googol - The Castle (USA)
lsp903341	Secret of Googol 2b, The - Reshaping Googol - Under the Ocean (USA)
lsp903358	Secret of Googol 3, The - The Googol Counting Fair - Midways (USA)
lsp903365	Secret of Googol 4, The - The Googol Counting Fair - Corral & Fun House (USA)
lsp903372	Secret of Googol 5, The - Googolfest - Party Isle & Toy Isle (USA)
lsp903389	Secret of Googol 6, The - Googolfest - Arcade Isle & Moon Feast Isle (USA)
lsp903396	Secret of Googol 7, The - Eggs All Around - Egg Trek & Balloon Picnic (USA)
lsp903419	Creative Isle (USA)
lsp903426	Cali's Geo Tools (USA)
lsp903433	Math Gallery - Collection 1 (USA)
lsp90343301	Math Gallery - Collection 1 (USA)
lsp903440	Math Gallery - Collection 2 (USA)
lsp90344001	Math Gallery - Collection 2 (USA)
lsp905017	Mona & Moki 1 - Drive Me Wild! (USA)
lsp905024	Mona & Moki 2 - Drive Me Wilder! (USA)
lsp905031	Calamity 1 - The Natural World (USA)
lsp905048	Calamity 2 - People and Traditions (USA)
lsp905055	Calamity 3 - Around the World (USA)
lsp905062	K9.5 1 - Live in Airedale (USA)
lsp905079	K9.5 2 - We Are the Dogs! (USA)
lsp905086	K9.5 3 - WebTunes (USA)
lsp905093	K9.5 4 - The Tail-Wag Tour (USA)
lsp905109	Creative Journey (USA)
lsp90510901	Creative Journey (USA)
lsp905123	KazMania 1 - Trail of Gems (USA)
lsp905130	KazMania 2 - Chaos in KazMania (USA)
lsp9051300	KazMania 2 - Chaos in KazMania (USA) (Rev 1)
lsp90513001	KazMania 2 - Chaos in KazMania (USA)
lsp905147	Liquid Books Adventure 6 - The Wandering Path (USA)
lsp90514700	Liquid Books Adventure 6 - The Wandering Path (USA)
lsp905154	Cosmic Cookoff - Language Arts (USA)
lsp905161	Faire Games - Language Arts (USA)
lsp905314	Quaddle Family Mysteries, The 1 - The Case of the Scarce Scarab - Lobby & Kitchen (USA)
lsp905321	Quaddle Family Mysteries, The 2 - The Case of the Scarce Scarab - Garden (USA)
lsp905338	Quaddle Family Mysteries, The 3 - The Case of the Scarce Scarab - Parlor & Family Room (USA)
lsp905345	P.K.'s Place 1 - Party on the Patio! (USA)
lsp905352	P.K.'s Place 2 - Hoopo at Sea! (USA)
lsp905369	P.K.'s Place 3 - Carlos at the Races! (USA)
lsp905390	Math on the Move! 1 - Addition-Subtraction Intermediate (USA)
lsp905406	Math on the Move! 2 - Multiplication-Division Intermediate (USA)
lsp905413	Cosmic Cookoff - Mathematics (USA)
lsp907011	Str.at.e.s. 1 - Match-A-Batch (USA)
lsp907028	Str.at.e.s. 2 - Matchamania! (USA)
lsp907035	Str.at.e.s. 3 - Title This! Title That! (USA)
lsp907042	Str.at.e.s. 4 - Titlerama! (USA)
lsp907059	Str.at.e.s. 5 - Parallel Lives! (USA)
lsp907066	Str.at.e.s. 6 - Analogy-ology! (USA)
lsp907073	Str.at.e.s. 7 - Riddle Roundup! (USA)
lsp907080	Str.at.e.s. 8 - Riddle Wrangler! (USA)
lsp907097	Creative Voyage (USA)
lsp90709701	Creative Voyage (USA)
lsp907103	K9.5 5 - The Howlywood Premiere (USA)
lsp90710301	K9.5 5 - The Howlywood Premiere (USA)
lsp907127	Road Writer (USA)
lsp907127001	Road Writer (USA)
lsp907318	Timeless Math 1 - Maya, Search and Rescue (USA)
lsp907325	Timeless Math 2 - Maya, Observatory (USA)
lsp907332	Timeless Math 3 - Maya, King Jaguar's Village (USA)
lsp907356	Timeless Math 5 - Space Flight Rescue (USA)
lsp907363	Timeless Math 6 - Brainswarm (USA)
lsp90736300	Timeless Math 6 - Brainswarm (USA)
lsp907370	Timeless Math 7 - Rover Recovery (USA)
lsp90737001	Timeless Math 7 - Rover Recovery (USA)
lsp907387	Timeless Jade Trade (USA)
lsp90738701	Timeless Jade Trade (USA)
lsp907394	Math on the Move! 1 - Addition-Subtraction Advanced (USA)
lsp907400	Math on the Move! 2 - Multiplication-Division Advanced (USA)
lsp909015	Unknown Variable 1 - Masque Manor (USA)
lsp909022	Unknown Variable 2 - Raven's Ridge (USA)
lsp99011401	Write Away 5 (USA)
lsp99011501	Write Away 6 (USA)
lsp99011601	Write Away 7 (USA)
lsp99011701	Write Away 8 (USA)
lsp99011801	Write Away 9 (USA)
lsp99011901	Write Away 10 (USA)
lsp99012101	16 Tales 1 (USA)
lsp99012201	16 Tales 2 (USA)
lsp9901230	16 Tales 3 (USA)
lsp9901240	16 Tales 4 (USA)
lsp9901310	Head to Toe 1 (USA)
lsp99013201	Head to Toe 2 (USA)
lsp99013301	Head to Toe 3 (USA)
lsp99013401	Head to Toe 4 (USA)
lsp99014101	Story Lane Theater 1 (USA)
lsp99014201	Story Lane Theater 2 (USA)
lsp99014301	Story Lane Theater 3 (USA)
lsp99014401	Story Lane Theater 4 (USA)
lsp99014501	Story Lane Theater 5 (USA)
lsp99016101	Science Is Elementary 1 (USA)
lsp99016201	Science Is Elementary 2 (USA)
lsp99016301	Science Is Elementary 3 (USA)
lsp99019101	Every Child Can Succeed 1 (USA)
lsp99019201	Every Child Can Succeed 2 (USA)
lsp99019301	Every Child Can Succeed 3 (USA)
lsp99019401	Every Child Can Succeed 4 (USA)
lsp99019501	Every Child Can Succeed 5 (USA)
lsp99019601	Every Child Can Succeed 6 (USA)
lsp99019701	Every Child Can Succeed 7 (USA)
name007demainnemeurtjamais	007 - Demain ne Meurt Jamais (France)
name007dermorgenstirbtnie	007 - Der Morgen Stirbt Nie (Germany)
name007dieweltistnichtgenug	007 - Die Welt Ist Nicht Genug (Germany)
name007elmundonuncaessuficiente	007 - El Mundo Nunca es Suficiente (Spain)
name007lemondenesuffitpas	007 - Le Monde ne Suffit Pas (France)
name007racing	007 Racing (Europe)
name007theworldisnotenough	007 - The World Is Not Enough (Europe)
name007tomorrowneverdies	007 - Tomorrow Never Dies (Europe)
name0karanomahjongmahjongyouchientamagogumi	0 kara no Mahjong - Mahjong Youchien Tamago-gumi (Japan)
name0karanoshougishougiyouchienayumigumi	0 kara no Shougi - Shougi Youchien Ayumi-gumi (Japan)
name100manyenquizhunter	100 Man Yen Quiz Hunter (Japan)
name100star	100% Star (Europe)
name10101willthestarship	10101 - Will the Starship (Japan)
name10thanniversarymemorialsavedata	10th Anniversary Memorial Save Data (Japan) (Disc 1) (PlayStation Taiou)
name16tales1	16 Tales 1 (USA)
name16tales2	16 Tales 2 (USA)
name16tales3	16 Tales 3 (USA)
name16tales4	16 Tales 4 (USA)
name19ji03punuenohatsuyakouressha	19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan)
name1on1	1 on 1 (Japan)
name1xtreme	1Xtreme (USA)
name2002fifaworldcup	2002 FIFA World Cup (Europe) (En,Sv)
name20seikistrikerretsudenthe20thcenturysrealstrikers	20-seiki Striker Retsuden - The 20th Century's Real Strikers (Japan)
name2xtreme	2Xtreme (Europe)
name321smurfmyfirstracinggame	3, 2, 1, Smurf! My First Racing Game (Europe) (En,Fr,De,Es,It,Nl)
name360threesixty	360 Three Sixty (Europe) (En,Fr,De,Es,It,Sv)
name3dbaseball	3D Baseball (USA)
name3dbaseballthemajors	3D Baseball - The Majors (Japan)
name3dkakutoutkool	3D Kakutou Tkool (Japan)
name3dkaleidoscopebabyuniverse	3D-Kaleidoscope - Baby Universe (Japan)
name3dlemmings	3D Lemmings (Europe)
name3dmissionshootingfinalist	3D Mission Shooting - Finalist (Japan)
name3dshootingtkool	3D Shooting Tkool (Japan)
name3x3eyeskyuuseikoushu	3x3 Eyes - Kyuusei Koushu (Japan) (Disc 1)
name3x3eyestenrinougenmu	3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 1)
name3xtreme	3Xtreme (USA)
name40winks	40 Winks (Europe)
name442soccer	4-4-2 Soccer (Europe) (En,Fr,De,Es)
name4x4worldtrophy	4x4 World Trophy (Europe) (En,Fr,De,Es,It)
name50por15quieresermillonario	50 por 15 - Quiere Ser Millonario (Spain)
name5starracing	5 Star Racing (Europe)
name70srobotanimegeppyxthesuperboostedarmor	70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 1)
name98koushienkoukouyakyuusimulation	'98 Koushien - Koukou Yakyuu Simulation (Japan)
name99koushien	'99 Koushien (Japan)
namea2racereuropatour	A2 Racer - Europa Tour (Netherlands)
namea5aresshadeikou5	A5 - A Ressha de Ikou 5 (Japan, Asia)
nameabalaburn	AbalaBurn (Japan)
nameabe99	Abe '99 (Japan) (Disc 1)
nameabeagogo	Abe a GoGo (Japan)
nameabsolutefootball	Absolute Football (France) (En,Fr,De,Es,It,Pt)
nameacecombat	Ace Combat (Japan)
nameacecombat2	Ace Combat 2 (Europe)
nameacecombat3electrosphere	Ace Combat 3 - Electrosphere (Europe) (En,Fr,De,Es,It)
nameacecombat3electrospheredirectaudiowithappendisc	Ace Combat 3 - Electrosphere - Direct Audio with AppenDisc (Japan)
nameacesoftheair	Aces of the Air (USA)
nameacid	Acid (Japan)
nameaconcagua	Aconcagua (Japan) (Disc 1)
nameactionbass	Action Bass (Europe)
nameactionmandestructionx	Action Man - Destruction X (Europe) (En,Fr,De,Es,It)
nameactionmanmissionxtreme	Action Man - Mission Xtreme (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)
nameactionmanoperationextreme	Action Man - Operation Extreme (USA)
nameactivisionclassics	Activision Classics (USA)
nameactuagolf	Actua Golf (Europe) (En,Fr,De)
nameactuagolf2	Actua Golf 2 (Europe)
nameactuagolf3	Actua Golf 3 (Europe)
nameactuaicehockey	Actua Ice Hockey (Europe) (En,Fr,De,Sv,Fi)
nameactuaicehockey2	Actua Ice Hockey 2 (Europe)
nameactuapool	Actua Pool (Europe)
nameactuasoccer	Actua Soccer (Europe) (En,Fr)
nameactuasoccer2	Actua Soccer 2 (Europe) (En,Fr)
nameactuasoccer3	Actua Soccer 3 (Europe)
nameactuasoccerclubedition	Actua Soccer - Club Edition (Europe)
nameactuatennis	Actua Tennis (Europe)
nameaddienookurimonotomozefromaddie	Addie no Okurimono - To Moze from Addie (Japan)
nameadiboopaziralssecret	Adiboo & Paziral's Secret (Europe) (En,Fr,De,Es,It)
nameadibouetlombreverte	Adibou et l'Ombre Verte (France)
nameadidaspowersoccer	Adidas Power Soccer (Europe) (En,Fr,De,Es,It)
nameadidaspowersoccer2	Adidas Power Soccer 2 (Europe) (En,Fr,De,Es,It,Nl)
nameadidaspowersoccer98	Adidas Power Soccer 98 (Europe) (En,Fr,De,Es,It,Nl)
nameadidaspowersoccerinternational97	Adidas Power Soccer International '97 (Europe) (En,Fr,De,Es,It,Nl)
nameadidaspowersoccerresidentevilshellshockdescent	Adidas Power Soccer + Resident Evil + Shellshock + Descent (Europe)
nameadliboujitofuyukainanakamatachi	Adlib Ouji - ...to Fuyukai na Nakamatachi! (Japan)
nameadvanceddungeonsdragonsironbloodwarriorsofravenloft	Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (Europe)
nameadvancedvg	Advanced V.G. (Japan)
nameadvancedvg2	Advanced V.G. 2 (Japan)
nameadvanracing	Advan Racing (Japan)
nameadventureoflittleralphthe	Adventure of Little Ralph, The (Japan) (Rev 1)
nameadventuresoflomaxporschechallengepandemoniumtombraider2xtremereloaded	Adventures of Lomax + Porsche Challenge + Pandemonium + Tomb Raider + 2 Xtreme + Reloaded (France)
nameadventuresoflomaxthe	Adventures of Lomax, The (USA)
nameaerodive	Aerodive (Japan)
nameaffecttaikenbanvol1	Affect Taikenban Vol. 1 (Japan)
nameafl99	AFL 99 (Australia)
nameafraidgear	Afraid Gear (Japan)
nameafraidgearanother	Afraid Gear Another (Japan)
nameagentarmstrong	Agent Armstrong (Europe) (En,Fr,De,Es)
nameagentarmstronghimitsushireidaisakusen	Agent Armstrong - Himitsu Shirei Daisakusen (Japan)
nameagilewarriorf111x	Agile Warrior - F-111X (Europe)
nameagingdisk	Aging Disk (Japan)
nameahnanjarin	Ah Nanjarin (Japan)
nameaimahjong2000	AI Mahjong 2000 (Japan)
nameaimahjongselection	AI Mahjong Selection (Japan)
nameairassaulttheredmercurymissions	AirAssault - The Red Mercury Missions (Japan)
nameaircombat	Air Combat (Europe)
nameairgrave	AirGrave (Japan)
nameairhockey	Air Hockey (Europe)
nameairmanagement96	Air Management '96 (Japan)
nameaironauts	Aironauts (Europe) (En,Fr,De)
nameairrace	Air Race (Europe)
nameairracechampionship	AirRace Championship (Japan)
nameairsthe	Airs, The (Japan)
nameaishiaukotoshikadekinai	Aishiau Koto Shika Dekinai (Japan)
nameaishougi	AI Shougi (Japan)
nameaishougi2	AI Shougi 2 (Japan)
nameaishougi2deluxe	AI Shougi 2 Deluxe (Japan)
nameaishougiselection	AI Shougi Selection (Japan)
nameaitakuteyoursmilesinmyheart	Aitakute... - Your Smiles in My Heart (Japan) (Disc 1)
nameaitakuteyoursmilesinmyheartoroshitatenodiaryintroductiondisc	Aitakute... - Your Smiles in My Heart - Oroshitate no Diary - Introduction Disc (Japan)
nameaitoyuujounonekomonogatarijinglecatsloveparadaisakusennomaki	Ai to Yuujou no Neko Monogatari. Jingle Cats - Love Para Daisakusen no Maki (Japan)
nameaivevolutionglobal	A.IV - Evolution Global (Europe) (En,Ja,Fr,De)
nameakagawajiroumajotachinonemurifukkatsusai	Akagawa Jirou - Majotachi no Nemuri - Fukkatsusai (Japan)
nameakagawajirouyasoukyoku	Akagawa Jirou - Yasoukyoku (Japan)
nameakagawajirouyasoukyoku2	Akagawa Jirou - Yasoukyoku 2 (Japan)
nameakazunoma	Akazu no Ma (Japan)
nameakujitheheartless	Akuji the Heartless (Europe) (En,Fr,De)
nameakumajoudraculaxgekkanoyasoukyoku	Akumajou Dracula X - Gekka no Yasoukyoku (Japan)
namealabamameetswillvithe33rdtokyomotorshow	Alabama Meets Will Vi - The 33rd Tokyo Motor Show (Japan)
namealbarianootomeuruwashinoseikishitachi	Albaria no Otome - Uruwashi no Seikishitachi (Japan)
namealexandraledermann2equitationcompetition	Alexandra Ledermann 2 - Equitation Competition (France)
namealexfergusonsplayermanager2001	Alex Ferguson's Player Manager 2001 (Europe)
namealexfergusonsplayermanager2002	Alex Ferguson's Player Manager 2002 (Europe)
namealexilalasinternationalsoccer	Alexi Lalas International Soccer (USA) (En,Fr,De,Es,It)
namealfredchicken	Alfred Chicken (Europe) (Beta)
namealiceincyberland	Alice in Cyberland (Japan)
namealienresurrection	Alien Resurrection (Europe) (En,Fr,De,Es,It)
namealientrilogy	Alien Trilogy (Europe) (En,Fr,Es,It)
namealive	Alive (Japan) (Disc 1)
nameallaricercadellavalleincantataritornoallagrandevallata	Alla Ricerca della Valle Incantata - Ritorno alla Grande Vallata (Italy)
namealliedgeneral	Allied General (Europe)
nameallmusicdance	All Music Dance! (Italy)
nameallstaraction	All Star Action (Europe) (Disc 1)
nameallstarbaseball97featuringfrankthomas	All-Star Baseball 97 featuring Frank Thomas (USA)
nameallstarboxing	All Star Boxing (Europe)
nameallstarmahjongkareinarushoubushikaranochousen	All-Star Mahjong - Karei naru Shoubushi kara no Chousen (Japan)
nameallstarracing	All Star Racing (Europe)
nameallstarracing2	All Star Racing 2 (Europe)
nameallstarslammindball	All-Star Slammin' D-Ball (USA)
nameallstarsoccer	All Star Soccer (Europe) (En,Fr,De,It)
nameallstartennis	All Star Tennis (Europe)
nameallstartennis2000	All Star Tennis 2000 (Europe) (En,De,Es,It)
nameallstartennis99	All Star Tennis '99 (Europe) (En,Fr,De,Es,It)
nameallstarwatersports	All Star Watersports (Europe)
namealnamnokibajuuzokujuunishintodensetsu	Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan)
namealnamnotsubasashoujinnosoranokanatae	Alnam no Tsubasa - Shoujin no Sora no Kanata e (Japan) (Disc 1)
namealoneinthedark2	Alone in the Dark 2 (Japan)
namealoneinthedarkjackisback	Alone in the Dark - Jack Is Back (Europe) (En,Fr,De,Es,It)
namealoneinthedarkoneeyedjacksrevenge	Alone in the Dark - One-Eyed Jack's Revenge (USA)
namealoneinthedarkthenewnightmare	Alone in the Dark - The New Nightmare (Europe) (Disc 1)
namealundra	Alundra (Europe)
namealundra2anewlegendbegins	Alundra 2 - A New Legend Begins (Europe)
namealundra2derbeginneinerneuenlegende	Alundra 2 - Der Beginn einer neuen Legende (Germany)
namealundra2mashinkanonazo	Alundra 2 - Mashinka no Nazo (Japan)
namealundra2unelegendeestnee	Alundra 2 - Une Legende Est Nee (France)
nameamazingvirtualseamonkeysthe	Amazing Virtual Sea-Monkeys, The (Europe) (En,Fr,De,Es,It,Nl,Pt)
nameamericanpool	American Pool (Europe)
nameamericaoudanultraquiz	America Oudan Ultra Quiz (Japan)
nameamerzonedastestamentdesforschungsreisenden	Amerzone - Das Testament des Forschungsreisenden (Germany) (Disc 1)
nameamerzoneellegadodelexplorador	Amerzone - El Legado del Explorador (Spain) (Disc 1)
nameamerzoneiltestamentodellesploratore	Amerzone - Il Testamento dell'Esploratore (Italy) (Disc 1)
nameamerzonel	Amerzone, L' (France) (Disc 1)
nameamerzoneotestamentodoexplorador	Amerzone - O Testamento do Explorador (Portugal) (Disc 1)
nameamerzonetheexplorerslegacy	Amerzone - The Explorer's Legacy (Europe) (Disc 1)
nameanalogcontrollerservicedisc	Analog Controller Service Disc (Revised) (Europe)
nameanastasia	Anastasia (Europe) (En,Fr,De,Nl)
nameancientromanpowerofdarkside	Ancient Roman - Power of Dark Side (Japan) (Disc 1)
nameandrettiracing	Andretti Racing (Europe)
nameangelbladeneotokyoguardians	Angel Blade - Neo Tokyo Guardians (Japan)
nameangelgraffitianataenoprofile	Angel Graffiti - Anata e no Profile (Japan)
nameangeliqueduet	Angelique Duet (Japan)
nameangeliquespecial	Angelique Special (Japan)
nameangeliquespecial2	Angelique Special 2 (Japan)
nameangeliquetenkuunorequiem	Angelique - Tenkuu no Requiem (Japan)
nameanimalfootball	Animal Football (Europe) (En,Fr,De)
nameanimalsnaprescuethem2by2	Animal Snap - Rescue Them 2 by 2 (Europe)
nameanimaniacstenpinalley	Animaniacs - Ten Pin Alley (USA)
nameanimeticstorygame1cardcaptorsakura	Animetic Story Game 1 - Cardcaptor Sakura (Japan) (Disc 1)
nameanimorphsshatteredreality	Animorphs - Shattered Reality (USA)
nameankhtutankhamennonazo	Ankh - Tutankhamen no Nazo (Japan) (Disc 1)
nameannakournikovassmashcourttennis	Anna Kournikova's Smash Court Tennis (Europe)
nameanokodokonoko	Ano Ko Doko no Ko (Japan)
nameanothermemories	Another Memories (Japan)
nameanothermind	Another Mind (Japan)
nameanstosspremiermanager	Anstoss - Premier Manager (Germany)
nameaokiookamitoshirokimejikagenchouhishi	Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)
nameaono6gouantarctica	Ao no 6-gou - Antarctica (Japan) (Disc 1)
nameaozoratonakamatachiyumenoboukenplus	Aozora to Nakamatachi - Yume no Bouken Plus (Japan)
nameapeescape	Ape Escape (Europe)
nameapeescapelainvasiondelosmonos	Ape Escape - La Invasion de los Monos (Spain)
nameapocalypse	Apocalypse (Europe)
nameaquagt	Aqua GT (Europe) (En,Fr,De,Es,It,Nl)
nameaquanautnokyuujitsu	Aquanaut no Kyuujitsu (Japan)
nameaquanautnokyuujitsu2	Aquanaut no Kyuujitsu 2 (Japan)
nameaquanautnokyuujitsumemoriesofsummer1996	Aquanaut no Kyuujitsu - Memories of Summer 1996 (Japan)
nameaquanautsholiday	Aquanaut's Holiday (Europe)
nameaquaparadise	Aqua Paradise (Japan)
nameaquarianagetokyowars	Aquarian Age - Tokyo Wars (Japan)
