# Generated from libretro-database's Sony - PlayStation DAT.
# Source: https://github.com/libretro/libretro-database
# License: CC-BY-SA-4.0
6107134	Shutokou Battle (Japan) (Taikenban)
6107146	Dynamite Deka 2 (Japan) (Taikenban) (610-7146)
6107150	Dynamite Deka 2 (Japan) (Taikenban) (610-7150)
6107158	Climax Landers - Motte ke! Minige Campaign (Japan)
6107159	Pro Yakyuu Team o Tamesou! (Japan) (Famitsu Tokubetsuban)
6107160	Gundam Side Story 0079 - Rise from the Ashes - Premium Disc (Japan)
6107161	Street Fighter Zero 3 - Saikyo-ryu Dojo (Japan) (Tentou Taikenban)
6107164	Dorimaga GD Vol. 1 (Japan)
610716402	Dorimaga GD Vol. 2 (Japan) (Disc 1)
6107164020	Dorimaga GD Vol. 2 (Japan) (Disc 1)
610716403	Dorimaga GD Vol. 2 (Japan) (Disc 2)
6107164031	Dorimaga GD Vol. 2 (Japan) (Disc 2)
610716404	Dorimaga GD Vol. 3 (Japan)
610716405	Dorimaga GD Vol. 4 (Japan)
610716406	Dorimaga GD Vol. 5 (Japan)
610716407	Dorimaga GD Vol. 6 (Japan)
610716408	Dorimaga GD Vol. 7 (Japan)
610716409	Dorimaga GD Vol. 8 (Japan)
610716410	Dorimaga GD Vol. 9 (Japan)
610716411	Dorimaga GD Vol. 10 (Japan)
610716412	Dorimaga GD Vol. 11 (Japan)
610716413	Dorimaga GD Vol. 12 (Japan)
6107173	Soulcalibur (Japan) (Tentou Taikenban)
6107174	Cool Boarders Burrrn! (Japan) (Taikenban)
6107175	Soulcalibur (Japan) (Tokubetsu Taikenban)
6107179	What's Shenmue - Yukawa (Moto) Senmu o Sagase (Japan)
6107180	Dream Passport 2 (Japan) (Rev A)
6107181	Star Gladiator 2 - Nightmare of Bilstein (Japan) (Tentou Taikenban)
6107185	Espion-Age-nts (Japan) (Tentou-you Demonstration Movie)
6107186	Maboroshi Tsukiyo (Japan) (Taikenban)
6107187	Atsumare! Guru Guru Onsen (Japan) (Taikenban 1)
6107349	Hello Kitty no Dream Passport 2 (Japan)
6107350	Pro Yakyuu Team de Asobou! (Japan) (Tokubetsuban)
6107351	Atsumare! Guru Guru Onsen (Japan) (Taikenban 2)
6107353	Zombie Revenge (Japan) (Taikenban)
6107357	Jojo no Kimyou na Bouken - Mirai e no Isan (Japan) (Tentou Taikenban)
6107358	GigaWing (Japan) (Tentou Taikenban)
6107368	Space Channel 5 (Japan) (Taikenban)
6107369	Dengen Tenshi Taisen Mahjong Shangri-La - Super Premium Movie Disc (Japan)
6107370	Berserk - Millennium Falcon-hen - Wasurebana no Shou (Japan) (Taikenban)
6107375	What's Shenmue - Yukawa (Moto) Senmu o Sagase (Japan)
6107380	Choukou Senki Kikaioh (Japan) (Tentou Taikenban)
6107381	Hello Kitty no Garden Panic (Japan)
6107383	J.League Pro Soccer Club o Tsukurou! Tokusei Otanoshimi File Download Disc (Japan)
6107384	Chu-Chu Rocket! (Japan) (Taikenban)
6107386	Super Magnetic Niuniu - Promotion Disc (Japan)
6107390	Microsoft WebTV Setsuzoku Kit (Japan) (128bit SSL Taiouban)
6107391	Microsoft WebTV Setsuzoku Kit (Japan) (128bit SSL Taiouban)
6107392	Generator Vol. 1 (Japan)
6107709	Dreamcast Express Extra (Japan)
6107724	Biohazard - Code - Veronica (Japan) (Tentou-you Demo Movie)
6107726	R7 - Regulation 7 (Japan)
6107727	Sega GT - Homologation Special (Japan) (Taikenban)
6107740	Aero Dancing F (Japan) (Taikenban)
6107747	Seireiki Rayblade (Japan) (Video ROM)
6107749	Sentimental Graffiti 2 - Third Window (Japan)
6107762	SegaKara for Dreamcast (Japan)
6107800	King of Fighters '99, The - Evolution (Japan) (Tentou-you Taikenban)
6107801	Visual Park (Japan)
6107803	Super Runabout (Japan) (Taikenban)
6107804	Seaman Esa Disc - Kimos Shu no Youchuu Hojuu Kit (Japan)
6107805	Dream Passport 2 with Guru Guru Onsen (Japan)
6107807	Marvel vs. Capcom 2 - New Age of Heroes (Japan) (Tentou Taikenban)
6107808	Power Stone 2 (Japan) (Tentou-you Demo Movie)
6107810	Eternal Arcadia - Kuuzokuban (Japan)
6107813	ISAO Promotion Disc by Seaman (Japan)
6107816	Record of Lodoss War - The Advent of Cardice (Japan) (Taikenban)
6107819	Dream Passport 3 (Japan)
6107846	Zusar Vasar (Japan) (Taikenban)
6107851	Dream Passport 3 (Japan)
6107875	Dabitsuku - Derby-ba o Tsukurou! (Japan) (Taikenban)
6107877	Cool Cool Toon (Japan) (Tentou-you Taikenban)
6107878	Grandia II (Japan) (Tentou-you Demo)
6107881	CSK Kenkouhoken Kumiai Sen'you Dream Passport 3 (Japan)
6107883	Broadband Passport (Japan)
6107894	Dream Passport 3 - Urban Style (Japan)
6107899	F355 Challenge (Japan) (Taikenban)
6107913	Dead or Alive 2 (Japan) (Taikenban)
6107917	Capcom vs. SNK - Millennium Fight 2000 (Japan) (Tentou Taikenban)
6107933	Tricolore Crise - Art Palette (Japan)
6107937	Guilty Gear X (Japan) (Taikenban)
6107958	Power Smash - Sega Professional Tennis (Japan) (Demo 1)
6107973	Power Smash - Sega Professional Tennis (Japan) (Demo 2)
6107982	Gunspike (Japan) (Tentou Taikenban)
6107990	Phantasy Star Online (Japan) (Tentou-you Demo Movie)
6107992	GigaWing 2 (Japan) (Tentou Taikenban)
6107993	Imakoso!! Dreamcast with Special GD!! (Japan)
610799450	Sonic Adventure 2 - The Trial (Europe) (En,Ja)
6107996	Sakura Taisen Dream Passport 3 (Japan)
6108017	Aero to Jet de Dancing! (Japan) (Taikenban Disc)
6108018	AM2 of CRI 2001 New Lineup Movie Collection (Japan)
6108022	Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Tentou-you Demo Movie)
6108039	Gundam Battle Online - Trial Edition (Japan)
6108057	Sonic Adventure 2 (Japan) (En,Ja,Fr,De,Es) (Taikenban)
6108061	Dream Passport Premier (Japan)
6108086	Capcom Taisen Fan Disc (Japan)
6108087	Virtua Fighter History-VF4 (Japan) (Alt)
6108088	Virtua Fighter 4 Passport - VF.NET (Japan)
6108094	Dreamcast VM Data-shuu (Japan)
6108099	Yu Suzuki Game Works Vol. 1 (Japan)
6108333	Sakura Taisen 4 - Koi seyo Otome (Japan) (Tentou-you Demo Movie)
6108395	Chocolat - Maid Cafe Curio (Japan) (Taikenban)
67013613c	Dreamcast System-Disc 2 (Japan)
67301243	Dreamkey (Australia)
67302117	Dreamkey (India)
67302290	Daytona USA 2001 (Japan) (Taikenban)
67302830	Crazy Taxi 2 (Japan) (Taikenban)
830001150	Dreamon Volume 5 (Europe) (En,Fr,De,Es)
830005250	NFL Blitz 2000 (Europe)
830008450	Worms Armageddon (Europe) (En,Fr,De,Nl,Sv,No,Da)
830014250	Midway's Greatest Arcade Hits - Volume 1 (Europe)
830015150	Grinch, The (Europe) (En,Fr,De,Es,It)
830017450	F355 Challenge - Passione Rossa (Europe) (En,Fr,De,Es,It)
830022350	SnoCross Championship Racing (Europe) (En,Fr,De)
832000150	Dreamon Volume 2 (Europe) (En,Fr,De,Es)
832000205	Dreamkey (Europe) (Rev B)
832001150	Dreamon Volume 4 (Europe) (En,Fr,De,Es)
832001750	Dreamon Volume 7 (Europe) (En,Fr,De,Es)
832001950	Dreamon Volume 8 (Europe) (En,Fr,De,Es)
832002150	Dreamon Collection 2 (Europe) (En,Fr,De,Es)
832002205	Dreamkey Version 1.5 (Europe)
832002206	Dreamkey Version 1.5 (Spain)
832002209	Dreamkey Version 1.5 (France)
832002350	Dreamon Volume 9 (Europe) (En,Fr,De,Es)
832002550	Dreamon Volume 7 & 8 (France)
832002650	Dreamon Collection 3 (Europe) (En,Fr,De,Es)
832002750	Dreamon Volume 10 (Germany) (En,Fr,De,Es)
832002850	Dreamon Volume 10 (Europe) (En,Fr,De,Es)
832003109	Dreamon Volume 10 (France)
832003250	Dreamon Volume 11 (Europe) (En,Fr,De,Es)
832003550	Dreamon Volume 12 (Europe) (En,Fr,De,Es)
832003850	Dreamon Volume 13 (Europe) (En,Fr,De,Es)
832004050	Dreamon Collection 4 (Europe) (En,Fr,De,Es)
832004350	Dreamon Volume 14 (Europe) (En,Fr,De,Es)
832004546	Dreamkey Version 2.0 (Europe)
832004646	Dreamkey Versao 2.0 (Portugal)
832004750	Dreamon Volume 15 (Europe) (En,Fr,De,Es)
832005150	Dreamon Volume 16 (Europe) (En,Fr,De,Es)
832005350	Dreamkey Version 2.0 (Europe) (En,Fr,De,Es,It)
832005450	Dreamon Volume 17 (Europe) (En,Fr,De,Es)
832005650	Dreamon Volume 18 (Europe) (En,Fr,De,Es)
832006050	Dreamon Volume 19 (Europe) (En,Fr,De,Es)
832006250	Dreamon Volume 20 (Europe) (En,Fr,De,Es)
832006450	Dreamon Volume 21 (Europe) (En,Fr,De,Es)
832006650	Dreamon Volume 22 (Europe) (En,Fr,De,Es)
832006850	Dreamkey 3.0 (Europe) (En,Fr,De,It)
832006906	Dreamkey 3.1 (Spain)
832006946	Dreamkey 3.1 (Portugal)
833000250	Dreamon Volume 1 (Europe) (En,Fr,De,Es)
833000305	Dreamkey (Europe)
833000409	Dreamkey (France)
833000871	Dreamon Volume 3 (Europe) (En,Fr,De,Es)
833001250	Dreamon Volume 6 (Europe) (En,Fr,De,Es)
833001809	Dreamkey Version 1.5 (France)
833002250	Dreamon Collection 3 (Europe) (En,Fr,De,Es)
833002609	Dreamon Volume 10 (France)
833002950	Dreamon Volume 13 (Europe) (En,Fr,De,Es)
833003050	Dreamon Collection 4 (Europe) (En,Fr,De,Es)
833004150	Dreamon Volume 17 (Europe) (En,Fr,De,Es)
833004650	Dreamon Volume 20 (Europe) (En,Fr,De,Es)
950000550	Virtua Fighter 3tb (Europe)
950001150	Toy Commander (Europe) (En,Fr,De,Es)
950001250	Sega Bass Fishing (Europe)
950001350	Sega Rally 2 (Europe) (Rev 1)
950001550	Dynamite Cop (Europe)
950001750	F1 World Grand Prix for Dreamcast (Europe) (En,Fr,De,Es)
950001850	Snow Surfers (Europe)
950001950	Soulcalibur (Europe) (En,Fr,De,Es)
950003750	Rayman 2 - The Great Escape (Europe) (En,Fr,De,Es,It) (Beta)
950006409	Resident Evil - Code - Veronica (France) (Disc 2)
9500064091	Resident Evil - Code - Veronica (France) (Disc 2)
950010350	Sega GT (Europe) (En,Fr,De,Es)
952000750	Sega Worldwide Soccer 2000 (Europe) (Beta)
952002550	Virtua Striker 2 Ver. 2000.1 (Europe) (Beta)
952003150	Crazy Taxi (Europe) (En,Ja)
952003250	Red Dog - Superior Firepower (Europe) (En,Fr,De,Es)
952003350	Zombie Revenge (Europe) (En,Fr,De,Es)
952003650	NBA 2K (Europe) (En,Fr,De,Es)
952003805	Legacy of Kain - Soul Reaver (Europe)
952004150	Ecco the Dolphin - Defender of the Future (Europe) (En,Fr,De,Es)
952004250	MSR - Metropolis Street Racer (Europe) (En,Fr,De,Es)
952004450	ChuChu Rocket! (Europe) (En,Ja,Fr,De,Es)
952004950	MDK2 (Europe) (Beta)
952005250	Dead or Alive 2 (Europe) (Beta)
952005805	Sword of the Berserk - Guts' Rage (Europe)
952006350	4 Wheel Thunder (Europe) (En,Fr)
952006450	Wacky Races (Europe) (En,Fr,De,Es,It,Nl)
952006650	V-Rally 2 - Expert Edition (Europe) (En,Fr,De)
952006750	Spirit of Speed 1937 (Europe) (En,Fr,De,Es)
952006950	Virtua Tennis - Sega Professional Tennis (Europe) (Beta)
952007009	Sydney 2000 (France)
952007250	Star Wars - Episode I - Racer (Europe)
952007450	South Park Rally (Europe) (En,Fr,De,Es)
952007550	Virtua Tennis - Sega Professional Tennis (Europe) (En,Fr,De,Es) (Beta)
952007650	Virtua Athlete 2K (Europe) (En,Fr,De,Es)
952007950	F1 World Grand Prix II for Dreamcast (Europe) (En,Fr,De,Es,It) (Beta)
952008050	San Francisco Rush 2049 (Europe) (En,Fr,De,Es,It,Nl) (Beta)
952008150	MSR Opel Challenge (Europe) (Beta)
952008350	Space Channel 5 (Europe) (En,Fr,De,Es) (Beta)
952008650	WWF Royal Rumble (Europe)
952008950	Sega Extreme Sports (Europe) (En,Fr,De,Es)
952009850	Disney's Dinosaur (Europe) (En,Fr,De,Es,It) (Beta)
952009950	Ready 2 Rumble Boxing - Round 2 (Europe) (En,Fr,De) (Beta)
952010250	Shenmue (Europe) (En,Fr,De,Es) (Disc 1)
9520102500	Shenmue (Europe) (En,Fr,De,Es) (Disc 1)
9520102501	Shenmue (Europe) (En,Fr,De,Es) (Disc 2)
9520102502	Shenmue (Europe) (En,Fr,De,Es) (Disc 3)
952010350	Le Mans 24 Hours (Europe) (En,Fr,De,Es,It)
952010650	Quake III - Arena (Europe) (En,Fr,De,Es)
952010850	Silent Scope (Europe) (En,Fr,De,Es,It)
952010950	Planet Ring (Europe) (En,Fr,De,Es,It)
952011250	Ultimate Fighting Championship (Europe)
952011450	Tokyo Highway Challenge 2 (Europe)
952012150	Super Runabout - San Francisco Edition (Europe)
952012250	Dave Mirra Freestyle BMX (Europe)
952012450	Surf Rocket Racers (Europe)
952012650	Phantasy Star Online (Europe) (En,Ja,Fr,De,Es)
952013350	Grandia II (Europe)
952013550	Fighting Vipers 2 (Europe) (Beta)
952014050	ECW Anarchy Rulz (Europe)
952014350	Giant Killers (Europe) (Beta)
952014450	Championship Surfer (Europe) (En,Fr,De) (Beta)
952014950	European Super League (Europe) (En,Fr,De,Es,It,Pt)
952015250	Confidential Mission (Europe) (En,Ja,Fr,De,Es)
952015450	Giant Killers (Europe) (Beta)
952016150	Sonic Adventure 2 (Europe) (En,Ja,Fr,De,Es)
952016250	Outtrigger (Europe) (En,Fr,De,Es)
952016350	Soldier of Fortune (Europe) (En,Fr,De)
952016850	Virtua Tennis 2 - Sega Professional Tennis (Europe) (En,Ja,Fr,De,Es)
952017050	Shenmue II (Europe) (En,Fr,De,Es) (Disc 1)
9520170500	Shenmue II (Europe) (En,Fr,De,Es) (Disc 1)
9520170501	Shenmue II (Europe) (En,Fr,De,Es) (Disc 2)
9520170502	Shenmue II (Europe) (En,Fr,De,Es) (Disc 3)
9520170503	Shenmue II (Europe) (En,Fr,De,Es) (Disc 4)
952017450	Flintstones, The - Viva Rock Vegas (Europe) (En,Fr,De,Es,It) (Proto)
952017650	Phantasy Star Online Ver. 2 (Europe) (En,Ja,Fr,De,Es)
952017950	Conflict Zone (Europe) (En,Fr,De)
952018150	Freestyle Scooter (Europe)
bb0001	Xeno Crisis (USA, Japan) (En,Ja,Fr,De,Es,It,Nl,Pt)
ccax10001	Checkicco no Miru CD (Japan)
dcg	GameShark CDX (USA) (Final Version)
dxjc1	Dux Version 1.5 (Europe)
fsca10113	D2 - Original Sound Track (Japan) (Disc 2) (MilCD)
fsca101131	D2 - Original Sound Track (Japan) (Disc 2) (MilCD)
fsre2dc	Fast Striker Ver. 1.5 (Europe) (Rerelease)
g20811	Cheats 'N Codes Volume 1 (USA)
g20812sm	DC-IE Import Enabler (USA)
g20821sm	GameShark Lite (USA)
hdr0001	Sonic Adventure (Japan)
hdr0002	Project Berkley (Japan)
hdr0003	Blue Stinger (Japan)
hdr0004	Godzilla Generations (Japan)
hdr0005	Giant Gram - Zen Nihon Pro Wres 2 in Nippon Budoukan (Japan)
hdr0006	Nettou Golf (Japan)
hdr0007	House of the Dead 2, The (Japan)
hdr0009	Climax Landers (Japan)
hdr0010	Sega Rally 2 (Japan) (Alt)
hdr0011	House of the Dead 2, The (Japan)
hdr0012	Get Bass (Japan)
hdr0013	Super Speed Racing (Japan)
hdr0014	Puyo Puyoon (Japan)
hdr0015	Atsumare! Guru Guru Onsen (Japan)
hdr0016	Shenmue - Isshou Yokosuka (Japan) (Disc 1)
hdr00160	Shenmue - Isshou Yokosuka (Japan) (Disc 1)
hdr00161	Shenmue - Isshou Yokosuka (Japan) (Disc 2)
hdr00162	Shenmue - Isshou Yokosuka (Japan) (Disc 3)
hdr0017	Virtua Fighter 3tb (Japan) (Rev 1)
hdr0019	Akihabara Dennou-gumi Pata Pies! (Japan)
hdr0020	Dynamite Deka 2 (Japan)
hdr0021	Chou Hatsumei Boy Kanipan - Bousou Robot no Nazo! (Japan)
hdr0022	Pro Yakyuu Team o Tsukurou! (Japan) (Rev B)
hdr0024	Yukawa Moto Senmu no Otakara Sagashi (Japan)
hdr0025	Yukawa Moto Senmu no Otakara Sagashi (Japan)
hdr0026	Zombie Revenge (Japan)
hdr0027	Pro Yakyuu Team de Asobou! (Japan)
hdr0028	J.League Pro Soccer Club o Tsukurou! (Japan)
hdr0029	Space Channel 5 (Japan)
hdr0030	Action Replay CDX Version 3.0 (France)
hdr0031	Shenmue - Isshou Yokosuka (Japan) (Disc 1)
hdr00310	Shenmue - Isshou Yokosuka (Japan) (Disc 1)
hdr00311	Shenmue - Isshou Yokosuka (Japan) (Disc 2)
hdr00312	Shenmue - Isshou Yokosuka (Japan) (Disc 3)
hdr0033	Grauen no Torikago - Kapitel 1 - Keiyaku (Japan)
hdr0034	Grauen no Torikago - Kapitel 2 - Torikago (Japan)
hdr0035	Grauen no Torikago - Kapitel 3 - Kansei (Japan)
hdr0036	Grauen no Torikago - Kapitel 4 - Kaikou (Japan)
hdr0037	Grauen no Torikago - Kapitel 5 - Shokuzai (Japan)
hdr0038	Grauen no Torikago - Kapitel 6 - Senritsu (Japan)
hdr0039	Chu-Chu Rocket! (Japan)
hdr0040	Dennou Senki - Virtual-On - Oratorio Tangram (Japan)
hdr0042	DreamFlyer (Japan)
hdr0043	Sonic Adventure International (Japan) (En,Ja,Fr,De,Es)
hdr0044	Roommania 203 (Japan)
hdr0045	Virtua Striker 2 Ver. 2000.1 (Japan) (En,Ja,Fr,De,Es)
hdr0046	Sakura Taisen - Hanagumi Taisen Columns 2 (Japan)
hdr0047	Godzilla Generations - Maximum Impact (Japan)
hdr0048	Chu-Chu Rocket! (Japan)
hdr0050	Gakkyuu-ou Yamazaki - Yamazaki Oukoku Daifunsou! (Japan)
hdr0051	Ready 2 Rumble Boxing - Uchikome Warai no Megaton Punch!! (Japan) (En,Ja,Fr,De)
hdr0052	Totsugeki! Teketeke!! Toy Ranger (Japan) (En,Ja,Fr,Es)
hdr0053	Crazy Taxi (Japan)
hdr0054	Sega GT - Homologation Special (Japan)
hdr0055	Hello Kitty no Lovely Fruit Park (Japan)
hdr0057	Oogami Ichirou Funtouki - Sakura Taisen Kayou Show Beni Tokage yori (Japan) (Disc 1)
hdr00570	Oogami Ichirou Funtouki - Sakura Taisen Kayou Show Beni Tokage yori (Japan) (Disc 1)
hdr00571	Oogami Ichirou Funtouki - Sakura Taisen Kayou Show Beni Tokage yori (Japan) (Disc 2)
hdr0058	NFL 2K (Japan)
hdr0061	Virtua Cop 2 (Japan)
hdr0063	Samba de Amigo (Japan)
hdr0064	Kiteretsu Boy's Gangagan (Japan)
hdr0065	Hello Kitty no Otonaru Mail (Japan)
hdr0066	Advanced Daisenryaku - Sturm ueber Europa - Der Deutsche Blitzkrieg (Japan)
hdr0067	Typing of the Dead, The (Japan)
hdr0069	NBA 2K (Japan)
hdr0070	Hello Kitty no Magical Block (Japan)
hdr0071	Get!! Colonies (Japan)
hdr0073	Sega Tetris (Japan) (Rev A)
hdr0074	Rent a Hero No. 1 (Japan)
hdr0075	Ao no 6-gou - Saigetsu Hito o Matazu - Time and Tide (Japan)
hdr0076	Eternal Arcadia (Japan) (Disc 1)
hdr00760	Eternal Arcadia (Japan) (Disc 1)
hdr00761	Eternal Arcadia (Japan) (Disc 2)
hdr0078	Jet Set Radio (Japan)
hdr0079	Napple Tale - Arsia in Daydream (Japan)
hdr0080	18 Wheeler - American Pro Trucker (Japan)
hdr0081	Virtua Athlete 2K (Japan)
hdr0082	Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare (Japan) (Disc 1)
hdr00820	Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare (Japan) (Disc 1)
hdr00821	Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare (Japan) (Disc 2)
hdr00822	Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare (Japan) (Disc 3)
hdr0083	SGGG - Segagaga (Japan)
hdr0084	Dabitsuku - Derby-ba o Tsukurou! (Japan)
hdr0085	Typing of the Dead, The (Japan)
hdr0089	Sakura Taisen (Japan) (Disc 1)
hdr00890	Sakura Taisen (Japan) (Disc 1)
hdr00891	Sakura Taisen (Japan) (Disc 2)
hdr0090	Hello Kitty no Waku Waku Cookies (Japan)
hdr0091	Pro Yakyuu Team de Asobou Net! (Japan)
hdr0092	Motto Pro Yakyuu Team o Tsukurou! (Japan) (Rev A)
hdr0100	F355 Challenge (Japan)
hdr0101	Giant Gram 2000 - Zen Nihon Pro Wres 3 Eikou no Yuushatachi (Japan)
hdr0102	Love Hina - Totsuzen no Engage Happening (Japan)
hdr0103	Ecco the Dolphin - Defender of the Future (Japan)
hdr0104	Sega Marine Fishing (Japan)
hdr0105	Quiz Aa Megami-sama - Tatakau Tsubasa to Tomoni (Japan)
hdr0106	Daytona USA 2001 (Japan)
hdr0108	Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare (Japan) (Disc 1)
hdr01080	Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare (Japan) (Disc 1)
hdr01081	Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare (Japan) (Disc 2)
hdr01082	Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare (Japan) (Disc 3)
hdr0109	Eternal Arcadia (Japan) (Disc 1)
hdr01090	Eternal Arcadia (Japan) (Disc 1)
hdr01091	Eternal Arcadia (Japan) (Disc 2)
hdr0112	Love Hina - Totsuzen no Engage Happening (Japan)
hdr0113	Power Smash - Sega Professional Tennis (Japan)
hdr0114	Dreamstud!o (Japan)
hdr0115	Cardcaptor Sakura - Tomoyo no Video Daisakusen (Japan)
hdr0116	Magic - The Gathering (Japan)
hdr0118	Outtrigger (Japan)
hdr0119	Eternal Arcadia (Japan) (Disc 1) (@barai)
hdr01190	Eternal Arcadia (Japan) (Disc 1) (@barai)
hdr01191	Eternal Arcadia (Japan) (Disc 2) (@barai)
hdr0121	Atsumare! Guru Guru Onsen BB (Japan)
hdr0123	Quiz Aa Megami-sama - Tatakau Tsubasa to Tomoni (Japan)
hdr0124	Hundred Swords (Japan)
hdr0125	Sonic Shuffle (Japan)
hdr0126	Sakatsuku Tokudaigou - J.League Pro Soccer Club o Tsukurou! (Japan)
hdr0127	Hundred Swords (Japan) (@barai)
hdr0128	De La Jet Set Radio (Japan) (En,Ja,Fr,De,Es)
hdr0129	Phantasy Star Online (Japan) (En,Ja,Fr,De,Es)
hdr0131	Samba de Amigo Ver. 2000 (Japan)
hdr0132	Cardcaptor Sakura - Tomoyo no Video Daisakusen (Japan)
hdr0133	Fighting Vipers 2 (Japan) (En,Ja)
hdr0136	Sakura Taisen 3 - Paris wa Moeteiru ka - Sakura Taisen 3 Movie Disc (Japan)
hdr0139	Love Hina - Smile Again (Japan)
hdr0140	Space Channel 5 (Japan)
hdr0141	NFL 2K (Japan)
hdr0144	NFL 2K1 (Japan)
hdr0146	Sega Extreme Sports (Japan)
hdr0147	Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 1)
hdr01470	Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 1)
hdr01471	Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 2)
hdr01472	Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 3)
hdr0148	Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 1)
hdr01480	Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 1)
hdr01481	Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 2)
hdr01482	Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 3)
hdr0149	Le Mans 24 Hours (Japan)
hdr0150	NBA 2K1 (Japan)
hdr0151	SGGG - Segagaga (Japan)
hdr0152	Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 1)
hdr01520	Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 1)
hdr01521	Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 2)
hdr01522	Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 3)
hdr0153	Sports Jam (Japan)
hdr0154	J.League Spectacle Soccer (Japan)
hdr0156	US Shenmue (Japan) (En,Ja) (Disc 1)
